,timestamp,latency_edgex-core-command_edgex-core-metadata,latency_edgex-core-metadata_edgex-device-mqtt,latency_edgex-ui_edgex-core-command,latency_edgex-ui_edgex-core-data,latency_edgex-device-mqtt_edgex-core-metadata,latency_edgex-ui_edgex-core-metadata,latency_edgex-ui_edgex-sys-mgmt-agent,latency_edgex-core-command_edgex-device-mqtt,edgex-redis,availability_edgex-redis,cpu_edgex-redis,memory_edgex-redis,edgex-core-data,availability_edgex-core-data,cpu_edgex-core-data,memory_edgex-core-data,edgex-sys-mgmt-agent,availability_edgex-sys-mgmt-agent,cpu_edgex-sys-mgmt-agent,memory_edgex-sys-mgmt-agent,edgex-core-command,availability_edgex-core-command,cpu_edgex-core-command,memory_edgex-core-command,edgex-core-metadata,availability_edgex-core-metadata,cpu_edgex-core-metadata,memory_edgex-core-metadata,edgex-ui,availability_edgex-ui,cpu_edgex-ui,memory_edgex-ui,edgex-device-mqtt,availability_edgex-device-mqtt,cpu_edgex-device-mqtt,memory_edgex-device-mqtt,edgex-exporter-fledge,availability_edgex-exporter-fledge,cpu_edgex-exporter-fledge,memory_edgex-exporter-fledge,edgex-mqtt-broker,availability_edgex-mqtt-broker,cpu_edgex-mqtt-broker,memory_edgex-mqtt-broker,error_edgex-core-metadata,error_edgex-device-mqtt,error_edgex-core-command,error_edgex-core-data,error_edgex-ui
0,2023-06-01 13:03:31,9.45,23.875,975.0,20.749999999999996,9.666666666666666,23.734374999999996,45.0,975.0,0,1.0,3.424340147806984,11.608064,0,1.0,4.543232576912823,11.18208,0,1.0,0.8703865336644977,13.553664,0,1.0,0.360892713427831,11.6736,0,1.0,10.343137113624804,14.893056,0,1.0,7.818783204798888,16.257024,0,1.0,1.073139788293867,11.169792,0,1.0,1.6677513558615156,14.15168,0,1.0,0.19827507943710773,0.83968,0.03000131953024723,0.0,0.0,0.0,0.020231213872832367
1,2023-06-01 13:04:31,9.375,4.8,975.0,11.750000000000016,,23.254310344827587,46.24999999999999,975.0,0,1.0,2.6676313422570397,10.89536,0,1.0,4.033302698638316,11.538432,0,1.0,1.2111930561068884,13.824,0,1.0,0.45263994258766305,11.255808,0,1.0,10.794098303911877,16.26112,0,1.0,8.097876149904092,15.618048,0,1.0,0.5157951193349337,11.812864,0,1.0,1.6468647380766879,13.643776,0,1.0,0.1950289761751369,0.802816,0.048952280823411645,0.0,0.0,0.0,0.01744186046511628
2,2023-06-01 13:05:31,9.535714285714285,9.625,975.0,22.56250000000002,9.5,22.993243243243242,42.499999999999986,975.0,0,1.0,2.4015879380864322,10.89536,0,1.0,3.9357656903766114,11.116544,0,1.0,1.507957884426996,14.2336,0,1.0,0.31729822834646465,11.22304,0,1.0,8.32507573383489,15.446016,0,1.0,7.815044548153821,16.150528,0,1.0,0.8951669658886716,11.710464,0,1.0,1.5043443065298443,13.799424,0,1.0,0.2494459452009668,0.8192,0.021276595744680854,0.0,0.0,0.0,0.014005602240896357
3,2023-06-01 13:06:31,9.642857142857142,23.875,975.0,22.074999999999996,9.666666666666666,22.98214285714285,24.25,975.0,0,1.0,2.520302986372867,10.862592,0,1.0,4.386104133363789,11.128832,0,1.0,1.894546370241746,13.615104,0,1.0,0.37050887136521415,11.370496,0,1.0,9.188341163236359,15.200256,0,1.0,7.452608728198089,16.142336,0,1.0,1.023211330994741,10.989568,0,1.0,1.5312783379577064,14.11072,0,1.0,0.24897363465151864,0.811008,0.042682926829268296,0.0,0.0,0.0,0.01955307262569832
4,2023-06-01 13:07:31,9.954545454545453,23.125,975.0,19.675000000000004,22.75,23.11057692307692,24.25,975.0,0,1.0,2.556861524531664,11.300864,0,1.0,4.407829319290491,11.272192,0,1.0,1.529135577797896,13.930496,0,1.0,0.5481933499903774,11.341824,0,1.0,10.024161751421307,15.634432,0,1.0,7.232275021025907,17.043456,0,1.0,1.0639023469451965,11.534336,0,1.0,1.6401987852015476,13.80352,0,1.0,0.18065653227588024,0.872448,0.012987012987012988,0.0,0.0,0.0,0.009009009009009009
5,2023-06-01 13:08:31,9.583333333333332,19.749999999999993,975.0,20.363636363636374,9.75,22.871621621621617,45.0,975.0,0,1.0,2.707518753606442,11.460608,0,1.0,4.4924695823741825,11.145216,0,1.0,1.55645495340058,13.959168,0,1.0,0.654072357868468,11.239424,0,1.0,9.52328539535868,15.519744,0,1.0,6.563848331760686,16.900096,0,1.0,1.0759426992997736,10.97728,0,1.0,1.5839664450776183,13.914112,0,1.0,0.321060275962246,0.79872,0.03164556962025317,0.0,0.0,0.0,0.015772870662460567
6,2023-06-01 13:09:32,9.666666666666666,23.875,975.0,19.749999999999975,9.75,23.012499999999996,24.25,975.0,0,1.0,2.4822709571634833,10.73152,0,1.0,4.035739644970126,11.350016,0,1.0,1.3122661290316089,13.553664,0,1.0,0.39926239799119484,11.403264,0,1.0,9.559437219473029,14.401536,0,1.0,7.050122133260839,16.601088,0,1.0,0.9397201356917567,11.329536,0,1.0,1.5155574043260327,14.00832,0,1.0,0.24030489592491694,0.806912,0.03157894736842105,0.0,0.0,0.0,0.02949852507374631
7,2023-06-01 13:10:32,9.954545454545453,22.0,975.0,9.918367346938776,23.5,23.09239130434782,47.5,975.0,0,1.0,2.837165124208433,10.6496,0,1.0,4.027927694170593,11.24352,0,1.0,1.316170613367843,14.200832,0,1.0,0.4378857580985526,11.309056,0,1.0,10.252820467265233,16.371712,0,1.0,7.093603965069631,16.293888,0,1.0,1.293848202396819,10.9568,0,1.0,1.4921426945835243,13.881344,0,1.0,0.2555878084179291,0.827392,0.017142857142857144,0.0,0.0,0.0,0.005730659025787966
8,2023-06-01 13:11:32,9.892857142857142,23.25,975.0,25.24999999999995,9.75,23.65625,24.25,975.0,0,1.0,2.582691717320465,10.89536,0,1.0,4.624190800681806,11.218944,0,1.0,1.3052045509550538,13.45536,0,1.0,0.5783293932230198,11.034624,0,1.0,8.95210688028103,16.2816,0,1.0,7.000972762646391,16.625664,0,1.0,1.245635935228345,10.77248,0,1.0,1.6597340647546797,13.758464,0,1.0,0.24017323516670594,0.802816,0.021390374331550804,0.0,0.0,0.0,0.010869565217391304
9,2023-06-01 13:12:32,9.75,22.375,975.0,19.85714285714286,9.5,22.629032258064512,24.25,975.0,0,1.0,2.692562441158591,11.063296,0,1.0,4.561214154972667,11.20256,0,1.0,1.8684210526310734,13.692928,0,1.0,0.3761592263189613,11.34592,0,1.0,9.285398727069056,15.323136,0,1.0,7.948560803272309,16.011264,0,1.0,1.1157513102161167,10.801152,0,1.0,1.5676124616810074,14.086144,0,1.0,0.22753375166383402,0.79872,0.042425476126430675,0.0,0.0,0.0,0.01910828025477707
10,2023-06-01 13:13:32,9.5625,,975.0,17.99999999999999,9.5,24.349056603773583,46.25,975.0,0,1.0,2.594561510353257,11.300864,0,1.0,4.394087136929483,11.38688,0,1.0,0.9752815746306719,14.221312,0,1.0,0.5137461547225686,11.218944,0,1.0,8.503061951103744,14.70464,0,1.0,7.08427299703243,16.326656,0,1.0,1.0880741560598044,11.1616,0,1.0,1.6809903742213699,14.372864,0,1.0,0.22165771047052354,0.794624,0.024038461538461536,0.0,0.0,0.0,0.01395348837209302
