,timestamp,latency_edgex-core-metadata_edgex-device-mqtt,latency_edgex-ui_edgex-core-metadata,latency_edgex-core-command_edgex-core-metadata,latency_edgex-ui_edgex-core-data,latency_edgex-device-mqtt_edgex-core-metadata,latency_edgex-ui_edgex-core-command,latency_edgex-core-command_edgex-device-mqtt,latency_edgex-ui_edgex-sys-mgmt-agent,edgex-sys-mgmt-agent,availability_edgex-sys-mgmt-agent,cpu_edgex-sys-mgmt-agent,memory_edgex-sys-mgmt-agent,edgex-core-data,availability_edgex-core-data,cpu_edgex-core-data,memory_edgex-core-data,edgex-device-mqtt,availability_edgex-device-mqtt,cpu_edgex-device-mqtt,memory_edgex-device-mqtt,edgex-core-command,availability_edgex-core-command,cpu_edgex-core-command,memory_edgex-core-command,edgex-mqtt-broker,availability_edgex-mqtt-broker,cpu_edgex-mqtt-broker,memory_edgex-mqtt-broker,edgex-core-metadata,availability_edgex-core-metadata,cpu_edgex-core-metadata,memory_edgex-core-metadata,edgex-exporter-fledge,availability_edgex-exporter-fledge,cpu_edgex-exporter-fledge,memory_edgex-exporter-fledge,edgex-ui,availability_edgex-ui,cpu_edgex-ui,memory_edgex-ui,edgex-redis,availability_edgex-redis,cpu_edgex-redis,memory_edgex-redis,error_edgex-device-mqtt,error_edgex-core-command,error_edgex-core-data,error_edgex-core-metadata,error_edgex-ui
0,31/05/2023 13:43,23.5,23.3,9.357142857,21.25,9.75,975,975,42.5,0,1,1.765734389,8.404992,0,1,4.928137458,11.14112,0,1,1.18973634,9.936896,0,1,0.592082566,9.347072,0,1,0.262009186,1.90464,0,1,9.918829702,12.304384,0,1,1.434169724,8.13056,0,1,7.5723323,15.101952,0,1,2.74505309,15.454208,0,0,0,0.033980583,0.017412935
1,31/05/2023 13:44,22,23.77777778,14.5,10.875,9.5,975,975,43.75,0,1,1.421966325,8.695808,0,1,3.656122779,11.198464,0,1,1.246075972,10.1376,0,1,0.466233659,9.424896,0,1,0.229209622,1.92512,0,1,9.360671311,11.24352,0,1,1.57975432,8.572928,0,1,7.14214876,15.106048,0,1,2.429703508,14.839808,0,0,0,0.01,0.005025126
2,31/05/2023 13:45,22.75,22.79166667,8.75,22.96428571,9.625,975,975,24.25,0,1,0.999201925,8.921088,0,1,4.043916804,11.321344,0,1,1.167618435,10.133504,0,1,0.247492523,9.187328,0,1,0.272411342,1.929216,0,1,9.552784797,10.67008,0,1,1.468874293,8.589312,0,1,7.177595411,14.368768,0,1,2.475993021,14.897152,0,0,0,0.028089888,0.015197568
3,31/05/2023 13:46,23.875,22.81428571,9.333333333,34.6875,9.625,975,975,24.25,0,1,1.392468684,8.863744,0,1,4.468206851,10.788864,0,1,1.151870148,9.719808,0,1,0.283792566,9.252864,0,1,0.191397142,1.92512,0,1,9.200445347,11.350016,0,1,1.512264529,8.72448,0,1,7.604244843,14.78656,0,1,2.420752738,14.92992,0,0,0,0.02739726,0.011111111
4,31/05/2023 13:47,21.25,23.04166667,9.65,24.58333333,9.75,975,975,24.25,0,1,1.72580082,8.638464,0,1,3.756530296,10.846208,0,1,1.129789443,10.26048,0,1,0.565154253,9.170944,0,1,0.238007506,1.933312,0,1,9.578801011,11.07968,0,1,1.462927605,8.323072,0,1,7.530227582,14.872576,0,1,2.723241553,15.27808,0,0,0,0.04,0.022435897
5,31/05/2023 13:48,9.75,23.62804878,9.125,21.93181818,,975,975,24.25,0,1,1.769389956,8.62208,0,1,4.336580487,11.104256,0,1,1.045356408,9.64608,0,1,0.635665627,9.166848,0,1,0.209467456,1.96608,0,1,10.14978716,11.227136,0,1,1.49343165,8.527872,0,1,8.179015284,14.721024,0,1,2.845237454,15.839232,0,0,0,0.032679739,0.014880952
6,31/05/2023 13:49,9.5,22.76973684,9.954545455,11.05,9.5,975,975,42.5,0,1,0.987346663,8.830976,0,1,3.704665899,11.149312,0,1,1.111787935,10.358784,0,1,0.519793385,9.117696,0,1,0.222111742,1.929216,0,1,10.27066267,12.038144,0,1,1.376936294,8.728576,0,1,6.681460674,15.020032,0,1,2.616356781,15.650816,0,0,0,0.02,0.008955224
7,31/05/2023 13:50,22.75,23.7195122,9.875,19.10714286,9.75,975,975,24.25,0,1,1.754641754,9.547776,0,1,3.890685592,11.005952,0,1,1.068324201,10.502144,0,1,0.434003929,9.355264,0,1,0.247014925,1.953792,0,1,9.45704139,10.698752,0,1,1.262985129,8.37632,0,1,6.51910659,15.187968,0,1,2.28721413,15.593472,0,0,0,0.006578947,0.003412969
8,31/05/2023 13:51,21.25,23.46938776,10,30,9.5,975,975,41.25,0,1,1.453013004,9.29792,0,1,4.226077554,10.899456,0,1,1.357089356,10.100736,0,1,0.37081278,9.949184,0,1,0.270893875,1.921024,0,1,9.791886213,11.370496,0,1,1.711493234,8.142848,0,1,6.936934719,15.327232,0,1,2.664620444,15.593472,0,0,0,0.013607145,0.005714286
9,31/05/2023 13:52,23.5,22.78488372,9.944444444,21.8125,9.625,975,975,24.25,0,1,2.185973867,8.839168,0,1,4.374799911,11.235328,0,1,1.048318974,9.785344,0,1,0.61023766,9.465856,0,1,0.252916716,1.912832,0,1,8.894376985,11.563008,0,1,1.377788377,8.265728,0,1,7.510601534,15.015936,0,1,2.655353454,15.9744,0,0,0,0.040609137,0.020671835
