,timestamp,latency_edgex-ui_edgex-core-command,latency_edgex-ui_edgex-sys-mgmt-agent,latency_edgex-core-command_edgex-core-metadata,latency_edgex-ui_edgex-core-data,latency_edgex-core-metadata_edgex-device-mqtt,latency_edgex-core-command_edgex-device-mqtt,latency_edgex-device-mqtt_edgex-core-metadata,latency_edgex-ui_edgex-core-metadata,edgex-core-data,availability_edgex-core-data,cpu_edgex-core-data,memory_edgex-core-data,edgex-redis,availability_edgex-redis,cpu_edgex-redis,memory_edgex-redis,edgex-core-metadata,availability_edgex-core-metadata,cpu_edgex-core-metadata,memory_edgex-core-metadata,edgex-core-command,availability_edgex-core-command,cpu_edgex-core-command,memory_edgex-core-command,edgex-device-mqtt,availability_edgex-device-mqtt,cpu_edgex-device-mqtt,memory_edgex-device-mqtt,edgex-mqtt-broker,availability_edgex-mqtt-broker,cpu_edgex-mqtt-broker,memory_edgex-mqtt-broker,edgex-exporter-fledge,availability_edgex-exporter-fledge,cpu_edgex-exporter-fledge,memory_edgex-exporter-fledge,edgex-sys-mgmt-agent,availability_edgex-sys-mgmt-agent,cpu_edgex-sys-mgmt-agent,memory_edgex-sys-mgmt-agent,edgex-ui,availability_edgex-ui,cpu_edgex-ui,memory_edgex-ui,error_edgex-core-metadata,error_edgex-device-mqtt,error_edgex-core-command,error_edgex-core-data,error_edgex-ui
0,31/05/2023 17:34,975,24.25,9.375,12.75,23.8,975,9.75,22.925,0,1,3.687935365,10.743808,0,1,2.307690459,10.575872,0,1,7.432044879,15.126528,0,1,0.491159448,8.912896,0,1,1.12542462,10.141696,0,1,0.200877609,0.827392,0,1,1.70390657,10.87488,0,1,1.17653118,9.715712,0,1,6.757026086,12.918784,0.028776978,0,0,0,0.013157895
1,31/05/2023 17:35,975,24.25,9.7,9.894736842,22,975,9.5,23.2,0,1,4.159816222,11.313152,0,1,2.478178988,10.960896,0,1,8.9891578,13.656064,0,1,0.472331346,8.654848,0,1,0.880411264,10.952704,0,1,0.193439406,0.811008,0,1,1.647236951,10.79296,0,1,0.761728726,9.48224,0,1,7.651412621,12.816384,0.037735849,0,0,0,0.018518519
2,31/05/2023 17:36,975,24.25,9.4,24.55,21.25,975,9.5,24.10483871,0,1,4.062286996,10.67008,0,1,2.6169468,10.911744,0,1,10.22255525,14.454784,0,1,0.61336621,8.699904,0,1,1.010510004,9.924608,0,1,0.202038154,0.815104,0,1,1.408591137,11.419648,0,1,0.864851746,10.027008,0,1,8.206874968,13.430784,0.058064516,0,0,0,0.027522936
3,31/05/2023 17:37,975,,9.916666667,40.625,21.25,975,9.625,23.18181818,0,1,4.65501492,11.157504,0,1,2.642653697,10.993664,0,1,8.164030023,14.573568,0,1,0.729849695,8.609792,0,1,0.871338117,10.42432,0,1,0.225187014,0.790528,0,1,1.395420552,11.317248,0,1,0.41715588,9.54368,0,1,8.339756335,12.828672,0.038216561,0,0,0,0.02745098
4,31/05/2023 17:38,975,48.75,9.458333333,25.25,23.75,975,9.75,23.94318182,0,1,4.469068005,11.137024,0,1,2.823923328,11.288576,0,1,11.55571934,13.930496,0,1,0.825225225,8.695808,0,1,1.431073045,10.97728,0,1,0.212785103,0.794624,0,1,1.531896137,10.8544,0,1,1.479655191,9.969664,0,1,8.155706477,13.508608,0.005102041,0,0,0,0.002949853
5,31/05/2023 17:39,975,48.125,9.933333333,10.3,22.375,975,23.5,22.98333333,0,1,4.026468966,11.055104,0,1,3.016769036,10.575872,0,1,10.80672441,13.766656,0,1,0.521133489,9.281536,0,1,1.201414886,10.207232,0,1,0.24095846,0.999424,0,1,1.460676687,10.866688,0,1,1.515872267,9.678848,0,1,8.334323047,13.320192,0.018292683,0,0,0,0.008571429
6,31/05/2023 17:40,975,24.25,9.642857143,14.875,4.8,975,,22.6375,0,1,3.944342932,11.395072,0,1,2.41122669,10.77248,0,1,8.449837039,14.188544,0,1,0.534964715,8.818688,0,1,1.015677485,10.125312,0,1,0.24016365,0.790528,0,1,1.571978896,11.300864,0,1,1.081144027,9.74848,0,1,6.968962716,12.9024,0.011428571,0,0,0,0.006622517
7,31/05/2023 17:41,975,46.875,9.5625,18,23.125,975,9.75,23.26470588,0,1,4.076563294,11.288576,0,1,2.796563139,10.797056,0,1,11.69664176,14.589952,0,1,0.460839481,8.900608,0,1,1.085108595,10.170368,0,1,0.238864329,0.991232,0,1,1.669123733,11.01824,0,1,1.810019254,9.752576,0,1,8.977412666,13.492224,0.03626943,0,0,0,0.018567639
8,31/05/2023 17:42,975,48.25,9.571428571,27.29166667,9.25,975,4.8,23.83333333,0,1,4.078050183,10.948608,0,1,2.622997796,10.964992,0,1,9.67557606,14.286848,0,1,0.286459984,8.925184,0,1,0.862014544,10.350592,0,1,0.178679462,0.823296,0,1,1.606512699,10.928128,0,1,1.570004063,10.489856,0,1,7.293169438,13.672448,0.014285714,0,0,0,0.005865103
9,31/05/2023 17:43,975,47.8125,9.333333333,20.5,20.5,975,9.25,23.4296875,0,1,4.179113193,10.866688,0,1,2.505390099,11.337728,0,1,9.663351393,14.082048,0,1,0.436043896,9.183232,0,1,1.025503069,10.960896,0,1,0.265777388,0.83968,0,1,1.624281742,10.801152,0,1,1.946713032,9.40032,0,1,7.496632487,13.643776,0.03053519,0,0,0,0.016556291
