,timestamp,latency_edgex-ui_edgex-core-command,latency_edgex-ui_edgex-core-data,latency_edgex-core-command_edgex-core-metadata,latency_edgex-ui_edgex-sys-mgmt-agent,latency_edgex-device-mqtt_edgex-core-metadata,latency_edgex-core-command_edgex-device-mqtt,latency_edgex-ui_edgex-core-metadata,latency_edgex-core-metadata_edgex-device-mqtt,edgex-redis,availability_edgex-redis,cpu_edgex-redis,memory_edgex-redis,edgex-exporter-fledge,availability_edgex-exporter-fledge,cpu_edgex-exporter-fledge,memory_edgex-exporter-fledge,edgex-ui,availability_edgex-ui,cpu_edgex-ui,memory_edgex-ui,edgex-device-mqtt,availability_edgex-device-mqtt,cpu_edgex-device-mqtt,memory_edgex-device-mqtt,edgex-mqtt-broker,availability_edgex-mqtt-broker,cpu_edgex-mqtt-broker,memory_edgex-mqtt-broker,edgex-core-data,availability_edgex-core-data,cpu_edgex-core-data,memory_edgex-core-data,edgex-core-command,availability_edgex-core-command,cpu_edgex-core-command,memory_edgex-core-command,edgex-core-metadata,availability_edgex-core-metadata,cpu_edgex-core-metadata,memory_edgex-core-metadata,edgex-sys-mgmt-agent,availability_edgex-sys-mgmt-agent,cpu_edgex-sys-mgmt-agent,memory_edgex-sys-mgmt-agent,error_edgex-core-metadata,error_edgex-device-mqtt,error_edgex-core-command,error_edgex-core-data,error_edgex-ui
10,2023-06-02 05:45:28,975.0,18.250000000000007,9.499999999999998,47.5,9.75,975.0,23.416666666666664,20.499999999999993,0,1.0,2.6329500283916567,10.948608,0,1.0,1.5746676813802232,15.396864,0,1.0,7.426132454128787,19.632128,0,1.0,0.9300038639881261,11.501568,0,1.0,0.2516644841131892,0.806912,0,1.0,4.382600334448614,11.296768,0,1.0,0.6027681374979277,13.144064,0,1.0,10.312340878830748,17.98144,0,1.0,2.2413432835817275,13.78304,0.03378378378378378,0.0,0.0,0.0,0.01592356687898089
11,2023-06-02 05:46:28,975.0,16.99999999999997,14.499999999999977,46.66666666666666,4.8,975.0,23.135714285714286,22.75,0,1.0,2.5302547997993075,11.341824,0,1.0,1.7465359795445108,15.855616,0,1.0,6.855373755061778,20.1728,0,1.0,1.1796527711529619,11.10016,0,1.0,0.22426635238660336,0.802816,0,1.0,4.416501928640507,11.067392,0,1.0,0.4620000000000283,13.53728,0,1.0,9.063114322270547,17.678336,0,1.0,1.868144516679348,13.90592,0.051427336431498834,0.0,0.0,0.0,0.02830188679245283
12,2023-06-02 05:47:28,975.0,21.250000000000014,9.5625,47.5,9.5,975.0,23.807692307692314,23.0,0,1.0,2.6332228950079024,11.415552,0,1.0,1.6337132313034513,15.876096,0,1.0,7.302323595779013,19.800064,0,1.0,1.430169628432922,11.198464,0,1.0,0.2978577044026559,0.786432,0,1.0,4.111726734802968,11.022336,0,1.0,0.5441692838387465,13.770752,0,1.0,10.023331494761349,18.620416,0,1.0,1.4707973793551896,14.147584,0.005780346820809248,0.0,0.0,0.0,0.003076923076923077
13,2023-06-02 05:48:28,975.0,29.58333333333337,17.499999999999993,46.666666666666664,9.625,975.0,23.278409090909086,22.0,0,1.0,2.6209581185192823,11.497472,0,1.0,1.3645897690979087,15.54432,0,1.0,7.3147721454168435,19.406848,0,1.0,0.8238861501259971,11.460608,0,1.0,0.2170380818052474,0.827392,0,1.0,3.9890835988478814,11.10016,0,1.0,0.44432707972045143,13.9264,0,1.0,10.948525305853606,17.87904,0,1.0,1.6283768227172104,13.672448,0.03896103896103896,0.0,0.0,0.0,0.020761245674740483
14,2023-06-02 05:49:28,975.0,15.166666666666673,19.999999999999996,47.5,4.8,975.0,23.139423076923073,24.25,0,1.0,2.478216560509056,10.99776,0,1.0,1.5592493508538614,15.540224,0,1.0,7.598392362181339,18.812928,0,1.0,1.0954292373433006,11.296768,0,1.0,0.22781402489170646,0.811008,0,1.0,4.062547230671151,11.0592,0,1.0,0.6160804273331766,13.225984,0,1.0,9.106909981086481,18.161664,0,1.0,2.1389618462972675,13.836288,0.0179669121346129,0.0,0.0,0.0,0.008450704225352112
15,2023-06-02 05:50:29,975.0,19.49999999999999,9.625,43.74999999999999,9.625,975.0,23.029069767441854,23.5,0,1.0,2.5581078437764733,11.075584,0,1.0,1.4137832984137038,15.863808,0,1.0,7.888124067998239,19.197952,0,1.0,1.3182475693619606,11.546624,0,1.0,0.18890646812467957,0.786432,0,1.0,4.089129129129064,11.644928,0,1.0,0.6661291585126254,13.234176,0,1.0,9.193088459032111,17.57184,0,1.0,1.5198576675855129,13.78304,0.017441860465116275,0.0,0.0,0.0,0.007957559681697611
16,2023-06-02 05:51:29,975.0,18.666666666666686,9.583333333333332,24.25,9.75,975.0,23.33018867924528,21.249999999999993,0,1.0,2.668600450286019,11.165696,0,1.0,1.2614995629919865,16.236544,0,1.0,7.702223738837427,18.997248,0,1.0,1.1911581902023487,11.882496,0,1.0,0.22187443459389097,0.794624,0,1.0,4.475338939419894,11.247616,0,1.0,0.3701959277756403,13.852672,0,1.0,10.07820239461638,17.952768,0,1.0,1.6677320280258485,13.651968,0.03546099290780142,0.0,0.0,0.0,0.013513513513513514
17,2023-06-02 05:52:29,975.0,19.89999999999993,9.5625,47.5,4.8,975.0,23.477941176470594,4.8,0,1.0,2.513626179645511,11.1616,0,1.0,1.5718009338614467,15.392768,0,1.0,6.544275621057749,19.275776,0,1.0,1.0525206175977568,11.247616,0,1.0,0.2751417463144728,0.831488,0,1.0,3.87517201279027,11.542528,0,1.0,0.538076886925389,13.672448,0,1.0,9.451933299759544,18.587648,0,1.0,1.8122302158269736,13.529088,0.041176470588235294,0.0,0.0,0.0,0.021875000000000002
18,2023-06-02 05:53:29,975.0,17.49999999999998,9.636363636363637,24.25,9.5,975.0,23.392857142857142,21.249999999999993,0,1.0,2.7474374132522996,11.649024,0,1.0,1.3967548834285775,15.536128,0,1.0,8.778128583441882,19.202048,0,1.0,0.8723585598826805,12.005376,0,1.0,0.2571042791857239,0.786432,0,1.0,4.298024295821351,11.10016,0,1.0,0.5090629988948076,13.733888,0,1.0,11.589542815264684,18.71872,0,1.0,0.7651465474413104,13.713408,0.03658536585365854,0.0,0.0,0.0,0.017964071856287425
19,2023-06-02 05:54:29,975.0,20.45,9.933333333333334,46.25,9.5,975.0,22.260869565217387,23.125,0,1.0,2.2981474023347164,11.051008,0,1.0,1.4273352061805487,15.634432,0,1.0,8.450528708892415,19.275776,0,1.0,1.2670340866984509,10.829824,0,1.0,0.29422069946344104,0.811008,0,1.0,3.3646838042642644,11.669504,0,1.0,0.5184535303501819,13.68064,0,1.0,9.043006012025709,18.550784,0,1.0,1.5980715146656868,14.159872,0.01775147928994083,0.0,0.0,0.0,0.008450704225352114
