,timestamp,latency_edgex-device-mqtt_edgex-core-metadata,latency_edgex-core-metadata_edgex-device-mqtt,latency_edgex-core-command_edgex-device-mqtt,latency_edgex-ui_edgex-core-command,latency_edgex-ui_edgex-sys-mgmt-agent,latency_edgex-core-command_edgex-core-metadata,latency_edgex-ui_edgex-core-metadata,latency_edgex-ui_edgex-core-data,edgex-redis,availability_edgex-redis,cpu_edgex-redis,memory_edgex-redis,edgex-device-mqtt,availability_edgex-device-mqtt,cpu_edgex-device-mqtt,memory_edgex-device-mqtt,edgex-mqtt-broker,availability_edgex-mqtt-broker,cpu_edgex-mqtt-broker,memory_edgex-mqtt-broker,edgex-sys-mgmt-agent,availability_edgex-sys-mgmt-agent,cpu_edgex-sys-mgmt-agent,memory_edgex-sys-mgmt-agent,edgex-exporter-fledge,availability_edgex-exporter-fledge,cpu_edgex-exporter-fledge,memory_edgex-exporter-fledge,edgex-core-data,availability_edgex-core-data,cpu_edgex-core-data,memory_edgex-core-data,edgex-core-metadata,availability_edgex-core-metadata,cpu_edgex-core-metadata,memory_edgex-core-metadata,edgex-core-command,availability_edgex-core-command,cpu_edgex-core-command,memory_edgex-core-command,edgex-ui,availability_edgex-ui,cpu_edgex-ui,memory_edgex-ui,error_edgex-device-mqtt,error_edgex-core-metadata,error_edgex-ui,error_edgex-core-command,error_edgex-core-data
0,2023-05-06 11:07:13,9.75,4.8,975.0,975.0,24.25,9.5,22.59210526315789,15.71874999999999,0,1.0,2.328503154272555,12.652544,0,1.0,1.2642862208354113,16.285696,0,1.0,0.20432727070471782,1.744896,0,1.0,0.6777328541479476,8.577024,0,1.0,1.9202480270575029,31.653888,0,1.0,3.609719644427128,16.756736,0,1.0,9.198514071294559,10.354688,0,1.0,0.5795905927769603,7.651328,0,1.0,8.532860286863473,9.29792,0.0,0.02127659574468085,0.002898550724637681,0.0,0.0
1,2023-05-06 11:08:13,9.75,21.249999999999993,975.0,975.0,24.25,9.555555555555555,20.888888888888886,14.178571428571402,0,1.0,2.1642657916324826,12.816384,0,1.0,1.2313853855781351,16.73216,0,1.0,0.1474237030985791,1.7408,0,1.0,0.44243976581850913,8.368128,0,1.0,1.7007326007326022,10.600448,0,1.0,3.760653052868589,16.969728,0,1.0,9.945547718756892,10.26048,0,1.0,0.45988340807174705,7.90528,0,1.0,7.470501580181472,11.01824,0.0,0.01840490797546012,0.012755102040816329,0.0,0.0
2,2023-05-06 11:09:13,9.666666666666666,22.75,975.0,975.0,24.25,9.642857142857142,22.837209302325576,21.625000000000043,0,1.0,2.534053550245746,13.688832,0,1.0,1.2590183949210367,17.424384,0,1.0,0.229390121529712,1.7408,0,1.0,0.7383886518534933,8.183808,0,1.0,1.5390044751511087,10.698752,0,1.0,3.681622066694062,17.235968,0,1.0,10.617098286329044,11.440128,0,1.0,0.7343929095028673,8.323072,0,1.0,7.930561282932411,11.722752,0.0,0.045454545454545456,0.016574585635359115,0.0,0.0
3,2023-05-06 11:10:14,9.75,21.249999999999993,975.0,975.0,24.0625,9.88888888888889,23.437499999999993,16.49999999999999,0,1.0,2.3851778050276375,13.324288,0,1.0,1.2336334224222405,16.842752,0,1.0,0.21273654763864563,1.7408,0,1.0,0.713974180939156,8.736768,0,1.0,1.6772464589235463,10.010624,0,1.0,4.066652795117241,16.838656,0,1.0,8.887128303964767,10.326016,0,1.0,0.45345767753129324,8.081408,0,1.0,7.086919863273858,11.288576,0.0,0.005714285714285716,0.012195121951219514,0.0,0.0
4,2023-05-06 11:11:14,9.75,8.749999999999998,975.0,975.0,24.25,11.5,22.328125,21.849999999999987,0,1.0,2.8710715868794066,13.520896,0,1.0,1.4563764044943772,16.850944,0,1.0,0.20739904175221024,1.732608,0,1.0,0.6728504801097396,8.142848,0,1.0,1.5740456868049306,9.990144,0,1.0,4.334504817564341,17.36704,0,1.0,9.033981008035056,10.481664,0,1.0,0.5882626830924428,8.11008,0,1.0,7.338840772818117,11.1616,0.0,0.01149425287356322,0.013071895424836603,0.0,0.0
5,2023-05-06 11:12:14,9.75,22.75,975.0,975.0,24.25,9.535714285714285,22.33552631578947,21.999999999999993,0,1.0,2.8028449253861885,13.623296,0,1.0,1.2439225219573453,17.088512,0,1.0,0.2795443758898969,1.728512,0,1.0,0.7365446071904119,8.941568,0,1.0,1.5451992614248429,10.358784,0,1.0,4.640803269948508,17.28512,0,1.0,9.862850280224157,11.464704,0,1.0,0.5028210757409457,8.802304,0,1.0,7.217999162829651,12.079104,0.0,0.01595268542199488,0.008379888268156423,0.0,0.0
6,2023-05-06 11:13:14,9.75,20.499999999999993,975.0,975.0,45.0,9.312499999999998,22.38571428571428,20.124999999999975,0,1.0,2.354228358009857,14.057472,0,1.0,0.988748213191768,17.125376,0,1.0,0.23777149920536922,1.7408,0,1.0,0.4215389960048629,8.23296,0,1.0,1.7402786885245838,10.469376,0,1.0,3.9131495067038142,16.887808,0,1.0,8.833002184541778,11.280384,0,1.0,0.6799410916085576,8.224768,0,1.0,6.835231940412934,11.808768,0.0,0.03389830508474576,0.015105740181268881,0.0,0.0
7,2023-05-06 11:14:14,9.75,22.75,975.0,975.0,45.0,9.583333333333332,22.78488372093023,19.900000000000002,0,1.0,2.530454845089003,14.401536,0,1.0,1.1603735632183567,17.575936,0,1.0,0.19936172073097125,1.716224,0,1.0,0.7655716723549484,8.757248,0,1.0,1.645673285983459,10.17856,0,1.0,4.238607839351128,16.83456,0,1.0,10.54820295983086,10.575872,0,1.0,0.5409867301803339,8.2944,0,1.0,7.719695179584117,12.279808,0.0,0.021739130434782605,0.009836065573770491,0.0,0.0
8,2023-05-06 11:15:14,4.8,23.349999999999994,975.0,975.0,24.25,9.7,23.283898305084747,20.171875000000007,0,1.0,2.7169748408608423,14.127104,0,1.0,0.914181339957621,16.576512,0,1.0,0.19775810204891667,1.748992,0,1.0,0.6465714051079882,8.585216,0,1.0,1.796091981413059,10.141696,0,1.0,3.976490566037744,17.145856,0,1.0,10.243597297709123,11.53024,0,1.0,0.3973714069591518,8.84736,0,1.0,8.44508232424428,12.148736,0.0,0.025974025974025972,0.007936507936507936,0.0,0.0
9,2023-05-06 11:16:15,,4.8,975.0,975.0,24.25,9.53125,23.029069767441854,23.687499999999993,0,1.0,2.607634277214068,14.31552,0,1.0,0.9456142433234613,16.850944,0,1.0,0.2011696570519991,1.736704,0,1.0,0.3847672229076022,8.794112,0,1.0,1.6993910456023757,10.481664,0,1.0,4.43788962698005,16.797696,0,1.0,9.968929406264573,10.756096,0,1.0,0.7492398327632116,8.466432,0,1.0,7.351649096385576,12.550144,0.0,0.03658536585365854,0.018469656992084433,0.0,0.0
