,timestamp,latency_edgex-ui_edgex-core-command,latency_edgex-ui_edgex-core-data,latency_edgex-device-mqtt_edgex-core-metadata,latency_edgex-ui_edgex-core-metadata,latency_edgex-core-metadata_edgex-device-mqtt,latency_edgex-ui_edgex-sys-mgmt-agent,latency_edgex-core-command_edgex-core-metadata,latency_edgex-core-command_edgex-device-mqtt,edgex-mqtt-broker,availability_edgex-mqtt-broker,edgex-sys-mgmt-agent,availability_edgex-sys-mgmt-agent,edgex-device-mqtt,availability_edgex-device-mqtt,edgex-redis,availability_edgex-redis,edgex-core-metadata,availability_edgex-core-metadata,edgex-core-command,availability_edgex-core-command,edgex-exporter-fledge,availability_edgex-exporter-fledge,edgex-ui,availability_edgex-ui,edgex-core-data,availability_edgex-core-data,error_edgex-device-mqtt,error_edgex-core-command,error_edgex-core-data,error_edgex-core-metadata,error_edgex-sys-mgmt-agent,error_edgex-ui
16,2023-05-05 12:47:43,975.0,19.375000000000007,,29.285714285714313,9.625,48.5,14.499999999999977,975.0,0,1.0,0,1.0,0,1.0,0,1.0,0,1.0,0,1.0,0,1.0,0,1.0,0,1.0,0.0,0.0,0.0,0.01818181818181818,0.0,0.012383900928792569
17,2023-05-05 12:48:43,975.0,16.749999999999957,9.625,25.24999999999995,22.75,46.25,9.214285714285712,975.0,0,1.0,0,1.0,0,1.0,0,1.0,0,1.0,0,1.0,0,1.0,0,1.0,0,1.0,0.0,0.0,0.0,0.0392156862745098,0.0,0.019801980198019802
18,2023-05-05 12:49:43,975.0,17.70454545454545,9.5,32.24999999999998,23.875,24.25,9.923076923076923,975.0,0,1.0,0,1.0,0,1.0,0,1.0,0,1.0,0,1.0,0,1.0,0,1.0,0,1.0,0.0,0.0,0.0,0.04117647058823528,0.0,0.02134146341463414
19,2023-05-05 12:50:44,975.0,14.624999999999984,9.5,33.74999999999995,23.5,43.74999999999999,9.5,975.0,0,1.0,0,1.0,0,1.0,0,1.0,0,1.0,0,1.0,0,1.0,0,1.0,0,1.0,0.0,0.0,0.0,0.03164556962025317,0.0,0.01257861635220126
20,2023-05-05 12:51:44,975.0,21.16666666666664,9.75,30.0,24.25,48.125,14.499999999999977,975.0,0,1.0,0,1.0,0,1.0,0,1.0,0,1.0,0,1.0,0,1.0,0,1.0,0,1.0,0.0,0.0,0.0,0.08,0.0,0.039344262295081964
21,2023-05-05 12:52:44,975.0,24.499999999999982,,24.823529411764703,22.0,43.74999999999999,19.0,975.0,0,1.0,0,1.0,0,1.0,0,1.0,0,1.0,0,1.0,0,1.0,0,1.0,0,1.0,0.0,0.0,0.0,0.03355704697986577,0.0,0.016722408026755852
22,2023-05-05 12:53:44,975.0,30.17857142857147,9.75,37.04545454545453,23.5,24.25,9.624999999999998,975.0,0,1.0,0,1.0,0,1.0,0,1.0,0,1.0,0,1.0,0,1.0,0,1.0,0,1.0,0.0,0.0,0.0,0.04285714285714286,0.0,0.024024024024024027
23,2023-05-05 12:54:44,975.0,12.249999999999973,9.5,36.562499999999986,22.749999999999993,47.70833333333333,10.0,975.0,0,1.0,0,1.0,0,1.0,0,1.0,0,1.0,0,1.0,0,1.0,0,1.0,0,1.0,0.0,0.0,0.0,0.016573669962985472,0.0,0.005714285714285714
24,2023-05-05 12:55:44,975.0,18.906249999999986,9.75,35.83333333333334,24.25,48.33333333333333,14.499999999999977,975.0,0,1.0,0,1.0,0,1.0,0,1.0,0,1.0,0,1.0,0,1.0,0,1.0,0,1.0,0.0,0.0,0.0,0.02793296089385475,0.0,0.01169590643274854
25,2023-05-05 12:56:44,975.0,26.249999999999904,9.75,41.9736842105263,9.0,48.4375,21.5,975.0,0,1.0,0,1.0,0,1.0,0,1.0,0,1.0,0,1.0,0,1.0,0,1.0,0,1.0,0.0,0.0,0.0,0.018632845564025467,0.0,0.012121212121212121
