,timestamp,latency_edgex-ui_edgex-sys-mgmt-agent,latency_edgex-ui_edgex-core-command,latency_edgex-device-mqtt_edgex-core-metadata,latency_edgex-core-command_edgex-device-mqtt,latency_edgex-core-command_edgex-core-metadata,latency_edgex-ui_edgex-core-metadata,latency_edgex-ui_edgex-core-data,latency_edgex-core-metadata_edgex-device-mqtt,edgex-sys-mgmt-agent,availability_edgex-sys-mgmt-agent,cpu_edgex-sys-mgmt-agent,memory_edgex-sys-mgmt-agent,edgex-device-mqtt,availability_edgex-device-mqtt,cpu_edgex-device-mqtt,memory_edgex-device-mqtt,edgex-core-metadata,availability_edgex-core-metadata,cpu_edgex-core-metadata,memory_edgex-core-metadata,edgex-mqtt-broker,availability_edgex-mqtt-broker,cpu_edgex-mqtt-broker,memory_edgex-mqtt-broker,edgex-redis,availability_edgex-redis,cpu_edgex-redis,memory_edgex-redis,edgex-ui,availability_edgex-ui,cpu_edgex-ui,memory_edgex-ui,edgex-core-command,availability_edgex-core-command,cpu_edgex-core-command,memory_edgex-core-command,edgex-exporter-fledge,availability_edgex-exporter-fledge,cpu_edgex-exporter-fledge,memory_edgex-exporter-fledge,edgex-core-data,availability_edgex-core-data,cpu_edgex-core-data,memory_edgex-core-data,error_edgex-device-mqtt,error_edgex-core-data,error_edgex-core-metadata,error_edgex-ui,error_edgex-core-command
0,2023-05-11 08:22:20,43.74999999999999,975.0,9.75,975.0,9.545454545454545,22.770833333333332,13.53571428571427,4.8,0,1.0,1.2988807448502944,9.728,0,1.0,0.9914826740288664,13.66016,0,1.0,10.219302254722704,11.464704,0,1.0,0.21021436813019834,0.8192,0,1.0,2.3307895170594346,12.04224,0,1.0,7.712105681080038,12.701696,0,1.0,0.557910228108902,8.695808,0,1.0,2.7630313334952668,8.245248,0,1.0,3.741997488641212,12.546048,0.0,0.0,0.016216216216216214,0.005405405405405405,
1,2023-05-11 08:24:31,24.25,975.0,,975.0,9.576923076923077,23.307692307692303,18.550000000000004,9.25,0,1.0,2.212243125905285,9.695232,0,1.0,0.9811073957486401,14.057472,0,1.0,11.337227836232836,12.238848,0,1.0,0.2698223093837303,0.815104,0,1.0,2.9635951661632043,12.386304,0,1.0,8.131820821236188,12.63616,0,1.0,0.46341463414634126,8.830976,0,1.0,2.516352061588567,8.425472,1,1.0,4.121555915717121,12.644352,0.0,0.0,0.017241379310344824,0.011428571428571429,
2,2023-05-11 08:26:41,47.5,975.0,22.0,975.0,37.499999999999986,31.71874999999999,9.79090909090909,9.625,0,1.0,0.4267398937621093,10.09664,0,1.0,1.0595670347482666,13.959168,0,1.0,8.830139875666182,11.476992,0,1.0,0.24530101505075033,0.806912,0,1.0,3.5500512353408684,15.183872,0,1.0,5.735706405347514,12.345344,2,1.0,99.85805860805867,14.016512,0,1.0,1.8388496048487812,8.3968,0,1.0,7.339423168736491,12.976128,0.0,0.0,0.028368794326241138,0.015243902439024392,
3,2023-05-11 08:28:52,24.25,975.0,23.5,975.0,9.5,22.431818181818176,23.968750000000004,4.8,0,1.0,1.3861634203517799,9.56416,0,1.0,1.1057755610974318,13.807616,0,1.0,9.270508315764832,11.993088,0,1.0,0.25563843104527506,0.827392,0,1.0,3.020056729118425,12.582912,3,1.0,7.778366295370155,466.866176,0,1.0,0.556755707407946,8.691712,0,1.0,2.3901907911472815,8.097792,0,1.0,4.137018970188254,12.828672,0.0,0.0,0.03773584905660377,0.02068965517241379,
4,2023-05-11 08:31:02,48.75,975.0,,975.0,14.499999999999977,22.05555555555555,20.5625,4.8,0,1.0,0.9475568349589079,10.293248,0,1.0,1.0063511029426642,14.04928,4,0.4166666666666667,5.986169253898326,21.89312,0,1.0,0.21300786582591022,0.954368,0,1.0,1.6749710060886782,12.9024,0,1.0,7.058209721588371,13.88544,0,1.0,0.24438626020823556,8.441856,0,1.0,2.6232536501575,8.404992,0,1.0,3.0355581511768124,13.090816,0.0,0.0,0.020979020979020976,0.010416666666666666,0.0
5,2023-05-11 08:33:13,24.25,975.0,22.75,975.0,17.499999999999993,23.481250000000003,21.499999999999986,22.75,0,1.0,1.8579834088782954,9.957376,1,1.0,1.114371987074413,13.549568,0,1.0,11.290236033282383,23.425024,0,1.0,0.19430535966149676,0.823296,0,1.0,2.5464573577953544,12.275712,0,1.0,8.050168901087265,13.283328,0,1.0,0.395903027019632,9.146368,0,1.0,2.345009127848783,8.2944,0,1.0,3.799494325864238,12.722176,0.0,0.0,0.025,0.002538071065989848,0.0
6,2023-05-11 08:35:24,24.25,975.0,92.5,975.0,94.375,223.75,1212.5000000000016,95.0,0,1.0,1.6025806451605757,9.883648,0,1.0,0.8176443749208673,13.684736,0,1.0,9.734566978193135,12.8,0,1.0,0.12565073355419337,0.827392,2,1.0,100.0079848754449,18.526208,0,1.0,8.331167979002657,13.484032,0,1.0,0.3745670383884505,8.892416,0,1.0,2.4508116883117035,8.269824,0,1.0,2.779123725856895,12.926976,0.0,0.0,0.034482758620689655,0.0176678445229682,0.0
7,2023-05-11 08:37:34,24.25,975.0,9.5,975.0,9.714285714285715,22.530487804878046,16.562499999999986,23.5,0,1.0,1.7085336839474237,9.875456,0,1.0,0.8577560359783243,14.073856,0,1.0,10.07892065026891,10.256384,3,1.0,0.30632281013783885,510.910464,0,1.0,2.443737762473831,12.427264,0,1.0,7.931622711238146,13.156352,0,1.0,0.45035059179899034,8.507392,0,1.0,2.6618923611111063,8.23296,0,1.0,3.7611668338317124,12.394496,0.0,0.0,0.03636363636363636,0.007957559681697613,0.0
8,2023-05-11 08:39:45,46.25,975.0,9.25,975.0,9.571428571428571,23.764705882352935,23.249999999999986,9.5,0,1.0,1.9444384416820115,9.760768,0,1.0,1.1842101918937329,13.848576,0,1.0,9.995639039504294,10.8544,0,1.0,0.22727858985382987,0.946176,0,1.0,2.404782651747796,12.578816,0,1.0,8.173855315039962,13.217792,0,1.0,0.6978803641092892,8.695808,4,0.5,2.832088050351328,16.85504,0,1.0,4.2316859873917725,12.558336,0.0,0.0,0.025,0.016574585635359115,0.0
9,2023-05-11 08:41:56,24.25,975.0,9.5,975.0,21.249999999999993,24.636363636363633,333.3333333333333,22.75,0,1.0,1.7738016997162038,9.64608,0,1.0,0.8049154398356468,13.541376,0,1.0,10.140336808339939,11.317248,0,1.0,0.13642074879021895,0.946176,0,1.0,2.0302332988294984,13.459456,0,1.0,7.494670475128857,14.082048,0,1.0,0.6220131885182693,8.474624,0,1.0,2.545358110723966,17.125376,2,1.0,100.2419449054084,20.082688,0.0,0.0,0.02127659574468085,0.010309278350515464,0.0
