,timestamp,latency_edgex-core-metadata_edgex-device-mqtt,latency_edgex-ui_edgex-sys-mgmt-agent,latency_edgex-ui_edgex-core-metadata,latency_edgex-core-command_edgex-device-mqtt,latency_edgex-ui_edgex-core-command,latency_edgex-ui_edgex-core-data,latency_edgex-core-command_edgex-core-metadata,latency_edgex-device-mqtt_edgex-core-metadata,edgex-core-command,availability_edgex-core-command,cpu_edgex-core-command,memory_edgex-core-command,edgex-redis,availability_edgex-redis,cpu_edgex-redis,memory_edgex-redis,edgex-exporter-fledge,availability_edgex-exporter-fledge,cpu_edgex-exporter-fledge,memory_edgex-exporter-fledge,edgex-device-mqtt,availability_edgex-device-mqtt,cpu_edgex-device-mqtt,memory_edgex-device-mqtt,edgex-core-data,availability_edgex-core-data,cpu_edgex-core-data,memory_edgex-core-data,edgex-ui,availability_edgex-ui,cpu_edgex-ui,memory_edgex-ui,edgex-core-metadata,availability_edgex-core-metadata,cpu_edgex-core-metadata,memory_edgex-core-metadata,edgex-mqtt-broker,availability_edgex-mqtt-broker,cpu_edgex-mqtt-broker,memory_edgex-mqtt-broker,edgex-sys-mgmt-agent,availability_edgex-sys-mgmt-agent,cpu_edgex-sys-mgmt-agent,memory_edgex-sys-mgmt-agent,error_edgex-core-command,error_edgex-core-data,error_edgex-core-metadata,error_edgex-device-mqtt,error_edgex-ui
0,2024-01-11 07:48:15,9.75,24.25,15.750000000000027,975.0,975.0,19.625000000000014,7.499999999999997,4.8,0,1.0,0.50039918656284,9.76896,0,1.0,1.8086191885779472,11.513856,0,1.0,1.1223382364145655,21.000192,0,1.0,0.6906916960604421,11.333632,0,1.0,3.282752527730679,11.194368,0,1.0,5.361188850331835,13.70112,0,1.0,7.258338553089685,12.439552,0,1.0,0.1615898533326152,1.708032,0,1.0,0.589742327260791,9.719808,0.0,0.0,0.03870967741935484,0.0,0.02
1,2024-01-11 07:49:15,19.749999999999993,24.25,15.343749999999977,975.0,975.0,16.58333333333332,9.083333333333332,4.8,0,1.0,0.4200927451339323,10.067968,0,1.0,2.350445623873352,11.751424,0,1.0,2.22855374823146,16.003072,0,1.0,0.8639716312056787,12.029952,0,1.0,4.654329970783692,18.956288,0,1.0,6.233011800923207,13.57824,0,1.0,8.086586962216218,12.173312,0,1.0,0.1968778826366223,1.691648,0,1.0,1.494537190083516,10.309632,0.0,0.0,0.023668639053254437,0.0,0.014534883720930232
2,2024-01-11 07:50:15,9.625,41.249999999999986,9.96078431372549,975.0,975.0,10.149999999999917,5.0,,0,1.0,0.6931470095022733,9.728,0,1.0,2.1016443745089957,11.485184,0,1.0,2.0110959604561254,16.965632,0,1.0,0.8348079020722184,11.567104,0,1.0,3.069804543936973,11.55072,0,1.0,6.727394226366959,13.287424,0,1.0,8.370292731333238,12.394496,0,1.0,0.2596878800160963,1.708032,0,1.0,2.0552332229909163,9.895936,0.0,0.0,0.014218009478672985,0.0,0.004608294930875576
3,2024-01-11 07:51:15,9.5,24.25,16.43749999999999,975.0,975.0,12.699999999999942,8.0,4.8,0,1.0,0.4973687431161995,9.715712,0,1.0,1.9822534909854947,11.456512,0,1.0,2.049406444317996,18.341888,0,1.0,0.8150695205674032,11.022336,0,1.0,3.308903916597446,11.276288,0,1.0,6.688653511319634,14.209024,0,1.0,8.50965700110619,13.27104,0,1.0,0.21747158157564844,1.687552,0,1.0,1.2602336519502477,9.85088,0.0,0.0,0.030927835051546386,0.0,0.008823529411764706
4,2024-01-11 07:52:15,4.8,45.625,11.312499999999973,975.0,975.0,9.934210526315788,4.799999999999999,4.8,0,1.0,0.5053206543275218,9.478144,0,1.0,2.0955385172666983,11.538432,0,1.0,2.6115865137775005,14.839808,0,1.0,0.7859983875301808,11.554816,0,1.0,3.6202364955662656,11.309056,0,1.0,6.4941042641676345,13.643776,0,1.0,7.8346111013425,11.993088,0,1.0,0.21338056476744166,1.695744,0,1.0,1.4263335987274655,9.977856,0.0,0.0,0.017751479289940825,0.0,0.011019283746556476
5,2024-01-11 07:53:16,9.25,38.749999999999986,18.499999999999996,975.0,975.0,13.625000000000025,4.8,,0,1.0,0.5473992197656958,10.248192,0,1.0,1.7971641169741575,11.751424,0,1.0,2.6741584339561255,14.983168,0,1.0,0.7595171099207457,11.513856,0,1.0,3.060171139635766,11.0592,0,1.0,5.952706589955959,14.221312,0,1.0,6.591678714858245,12.136448,0,1.0,0.1846096221074927,1.72032,0,1.0,1.2758448372790419,9.805824,0.0,0.0,0.02173913043478261,0.0,0.010178117048346057
6,2024-01-11 07:54:16,4.8,24.25,14.87499999999997,975.0,975.0,9.434210526315791,13.0,9.75,0,1.0,0.371669418614962,9.965568,0,1.0,1.9843847912607742,11.669504,0,1.0,2.6815878089155163,15.757312,0,1.0,0.7461979388990109,11.825152,0,1.0,6.0652114480998875,11.886592,0,1.0,6.7222295390423366,14.180352,0,1.0,7.492812730531605,12.832768,0,1.0,0.18473045598096652,1.769472,0,1.0,1.8923338797125222,10.399744,0.0,0.0,0.0,0.0,0.0
7,2024-01-11 07:55:16,9.5,46.25,17.02272727272726,975.0,975.0,13.87500000000002,6.999999999999993,4.8,0,1.0,0.6936679485480294,9.916416,0,1.0,1.8286102420554995,11.378688,0,1.0,2.2340910705411954,15.908864,0,1.0,0.7785621198956298,10.907648,0,1.0,3.142982111815609,11.34592,0,1.0,6.119275067754239,13.86496,0,1.0,7.911412313795975,13.012992,0,1.0,0.2176704777461161,1.691648,0,1.0,1.6062930186816993,10.412032,0.0,0.0,0.011695906432748537,0.0,0.005434782608695652
8,2024-01-11 07:56:16,8.749999999999998,24.25,14.781249999999988,975.0,975.0,9.522727272727279,7.749999999999997,4.8,0,1.0,0.485205555555505,10.010624,0,1.0,2.2488835451721254,11.444224,0,1.0,2.006986235596654,17.522688,0,1.0,1.0390685110909628,11.128832,0,1.0,3.003806313711262,11.190272,0,1.0,6.190411731525526,14.106624,0,1.0,8.475086172797418,12.771328,0,1.0,0.24394716837688527,1.712128,0,1.0,1.9797647559749134,10.092544,0.0,0.0,0.04516129032258065,0.0,0.021875
9,2024-01-11 07:57:16,9.5,43.74999999999999,9.944444444444443,975.0,975.0,16.91666666666665,8.249999999999998,4.8,0,1.0,0.46767356881847016,10.0352,0,1.0,2.2707570108608235,13.000704,0,1.0,2.26767114523328,14.17216,0,1.0,0.6911602209946954,11.051008,0,1.0,3.357712556731966,11.28448,0,1.0,5.935101940555558,13.774848,0,1.0,7.886568687485658,14.389248,0,1.0,0.2711473240136074,1.716224,0,1.0,1.2151982060187656,9.957376,0.0,0.0,0.033783783783783786,0.0,0.016233766233766232
