,timestamp,latency_edgex-ui_edgex-sys-mgmt-agent,latency_edgex-core-command_edgex-core-metadata,latency_edgex-ui_edgex-core-data,latency_edgex-ui_edgex-core-command,latency_edgex-core-command_edgex-device-mqtt,latency_edgex-core-metadata_edgex-device-mqtt,latency_edgex-device-mqtt_edgex-core-metadata,latency_edgex-ui_edgex-core-metadata,edgex-core-command,availability_edgex-core-command,cpu_edgex-core-command,memory_edgex-core-command,edgex-ui,availability_edgex-ui,cpu_edgex-ui,memory_edgex-ui,edgex-device-mqtt,availability_edgex-device-mqtt,cpu_edgex-device-mqtt,memory_edgex-device-mqtt,edgex-core-metadata,availability_edgex-core-metadata,cpu_edgex-core-metadata,memory_edgex-core-metadata,edgex-exporter-fledge,availability_edgex-exporter-fledge,cpu_edgex-exporter-fledge,memory_edgex-exporter-fledge,edgex-redis,availability_edgex-redis,cpu_edgex-redis,memory_edgex-redis,edgex-core-data,availability_edgex-core-data,cpu_edgex-core-data,memory_edgex-core-data,edgex-sys-mgmt-agent,availability_edgex-sys-mgmt-agent,cpu_edgex-sys-mgmt-agent,memory_edgex-sys-mgmt-agent,edgex-mqtt-broker,availability_edgex-mqtt-broker,cpu_edgex-mqtt-broker,memory_edgex-mqtt-broker,error_edgex-core-metadata,error_edgex-device-mqtt,error_edgex-core-command,error_edgex-core-data,error_edgex-ui
0,2024-01-10 06:44:48,24.25,9.9,15.357142857142826,975.0,975.0,4.8,4.8,13.53571428571427,0,1.0,0.4217570261754056,9.9328,0,1.0,7.109254831640642,13.570048,0,1.0,0.9227331474049095,11.010048,0,1.0,8.90544938662817,13.193216,0,1.0,1.4631235668788298,15.597568,0,1.0,1.9105095541400985,11.227136,0,1.0,3.182041881125555,11.542528,0,1.0,0.5540365426979351,9.719808,0,1.0,0.09097685366810358,1.667072,0.04704487610731877,0.0,0.0,0.0,0.023809523809523815
1,2024-01-10 06:45:48,43.74999999999999,8.875,9.954545454545453,975.0,975.0,9.583333333333332,9.5,12.249999999999998,0,1.0,0.4845029572338421,10.063872,0,1.0,7.230387931033105,13.144064,0,1.0,0.9426367555915197,11.517952,0,1.0,8.944937666268517,11.972608,0,1.0,1.8030692756825049,17.137664,0,1.0,2.0107802874744065,11.194368,0,1.0,3.272417560588224,11.681792,0,1.0,1.9051612386977803,9.80992,0,1.0,0.24405437962481744,1.642496,0.043795620437956206,0.0,0.0,0.0,0.02127659574468085
2,2024-01-10 06:46:48,24.25,8.333333333333332,9.624999999999996,975.0,975.0,8.499999999999998,4.8,14.499999999999984,0,1.0,0.529894881618623,9.719808,0,1.0,7.1513966480444005,13.29152,0,1.0,1.0016195242646546,10.891264,0,1.0,8.293137352268799,12.447744,0,1.0,2.1549822655730626,14.999552,0,1.0,2.380728602383515,11.370496,0,1.0,3.6450483222932673,10.973184,0,1.0,1.4145564663500299,9.945088,0,1.0,0.16704698518334674,1.695744,0.016216216216216214,0.0,0.0,0.0,0.008000000000000002
3,2024-01-10 06:47:48,42.499999999999986,4.8,19.825000000000017,975.0,975.0,9.625,4.8,16.187499999999996,0,1.0,0.618161703145816,9.846784,0,1.0,6.24662837359479,13.389824,0,1.0,0.9495680345577663,11.198464,0,1.0,6.603473509610525,11.681792,0,1.0,1.9530338119497996,20.414464,0,1.0,2.101393969351948,11.40736,0,1.0,3.3621873273883924,11.198464,0,1.0,1.4452448271432021,9.752576,0,1.0,0.21880707208077263,1.6384,0.025380839367938494,0.0,0.0,0.0,0.015
4,2024-01-10 06:48:48,45.625,9.444444444444443,21.062500000000036,975.0,975.0,9.5,,17.961538461538453,0,1.0,0.6300667556745511,9.662464,0,1.0,7.156125306264238,13.5168,0,1.0,0.8405670103089119,10.993664,0,1.0,7.616358879655308,11.890688,0,1.0,1.8631782249369764,20.967424,0,1.0,2.060156822512664,11.812864,0,1.0,3.450377388791663,11.411456,0,1.0,1.1958890754485263,9.74848,0,1.0,0.16724124952950836,1.691648,0.03550295857988165,0.0,0.0,0.0,0.017094017094017092
5,2024-01-10 06:49:48,46.25,8.899999999999997,15.142857142857151,975.0,975.0,9.625,4.8,18.749999999999993,0,1.0,0.6785817216534181,9.744384,0,1.0,7.106088678311134,13.33248,0,1.0,1.100639692115723,11.821056,0,1.0,8.692859302559942,12.705792,0,1.0,2.4596458393321203,15.183872,0,1.0,1.8784133611686584,11.034624,0,1.0,3.3857840789355915,10.8544,0,1.0,1.4354087629246886,10.09664,0,1.0,0.2463956412405184,1.646592,0.015957073195650272,0.0,0.0,0.0,0.008379888268156424
6,2024-01-10 06:50:49,24.25,4.8,12.57142857142853,975.0,975.0,22.0,9.25,11.593750000000043,0,1.0,0.6130578969185304,9.70752,0,1.0,7.613581437200648,13.504512,0,1.0,0.7910323127195832,11.190272,0,1.0,8.935314353500608,11.575296,0,1.0,2.344640308307152,18.284544,0,1.0,2.224397630906088,11.227136,0,1.0,3.8916289885039785,11.186176,0,1.0,1.8763880971383637,10.190848,0,1.0,0.17732046551230024,1.687552,0.0054051598345893435,0.0,0.0,0.0,0.0034602076124567475
7,2024-01-10 06:51:49,42.499999999999986,9.0,17.624999999999975,975.0,975.0,23.5,4.8,18.599999999999998,0,1.0,0.53911635878894,9.801728,0,1.0,7.87224162903598,13.430784,0,1.0,0.7670554393305157,12.087296,0,1.0,9.07078888949006,11.829248,0,1.0,1.887605792740159,20.647936,0,1.0,2.1201949106661586,11.190272,0,1.0,3.636905314457952,11.538432,0,1.0,1.0033182417330946,10.694656,0,1.0,0.20607522972175357,1.667072,0.022472742871709295,0.0,0.0,0.0,0.011299435028248586
8,2024-01-10 06:52:49,45.0,13.749999999999982,22.000000000000014,975.0,975.0,9.375,4.8,15.999999999999982,0,1.0,0.7436018957347644,9.699328,0,1.0,6.475616692018035,13.5168,0,1.0,1.0671067020779272,10.97728,0,1.0,6.73755720823804,12.94336,0,1.0,2.226756564939968,16.891904,0,1.0,2.006750952265185,11.456512,0,1.0,3.1813119817911772,11.669504,0,1.0,1.4054747981062155,9.867264,0,1.0,0.20042211683778793,1.654784,0.005620611039520225,0.0,0.0,0.0,0.003125
9,2024-01-10 06:53:49,24.25,9.55,17.607142857142854,975.0,975.0,20.87499999999999,9.75,13.749999999999966,0,1.0,0.8219631047683686,9.916416,0,1.0,6.941674595625375,13.451264,0,1.0,1.0657199681781966,10.93632,0,1.0,8.473704132872099,12.398592,0,1.0,2.0246067618878016,21.557248,0,1.0,2.2231775180858837,11.665408,0,1.0,3.6034075645108605,11.522048,0,1.0,0.5689395049068336,10.088448,0,1.0,0.2113689413703223,1.6384,0.02127659574468085,0.0,0.0,0.0,0.010526315789473682
