,timestamp,latency_edgex-core-metadata_edgex-device-mqtt,latency_edgex-core-command_edgex-core-metadata,latency_edgex-ui_edgex-core-command,latency_edgex-ui_edgex-core-data,latency_edgex-device-mqtt_edgex-core-metadata,latency_edgex-core-command_edgex-device-mqtt,latency_edgex-ui_edgex-core-metadata,latency_edgex-ui_edgex-sys-mgmt-agent,edgex-redis,availability_edgex-redis,cpu_edgex-redis,memory_edgex-redis,edgex-ui,availability_edgex-ui,cpu_edgex-ui,memory_edgex-ui,edgex-sys-mgmt-agent,availability_edgex-sys-mgmt-agent,cpu_edgex-sys-mgmt-agent,memory_edgex-sys-mgmt-agent,edgex-core-data,availability_edgex-core-data,cpu_edgex-core-data,memory_edgex-core-data,edgex-core-command,availability_edgex-core-command,cpu_edgex-core-command,memory_edgex-core-command,edgex-exporter-fledge,availability_edgex-exporter-fledge,cpu_edgex-exporter-fledge,memory_edgex-exporter-fledge,edgex-core-metadata,availability_edgex-core-metadata,cpu_edgex-core-metadata,memory_edgex-core-metadata,edgex-device-mqtt,availability_edgex-device-mqtt,cpu_edgex-device-mqtt,memory_edgex-device-mqtt,edgex-mqtt-broker,availability_edgex-mqtt-broker,cpu_edgex-mqtt-broker,memory_edgex-mqtt-broker,error_edgex-core-command,error_edgex-core-data,error_edgex-core-metadata,error_edgex-device-mqtt,error_edgex-ui
0,2024-01-11 13:13:42,9.4375,9.1,975.0,12.550000000000026,9.5,975.0,9.8,48.33333333333333,0,1.0,1.9938873550524396,11.4688,0,1.0,6.2408953332863355,12.914688,0,1.0,0.9030762270988303,10.358784,0,1.0,3.35618311533885,10.747904,0,1.0,0.5816746546377298,9.330688,0,1.0,1.5182187813300791,11.108352,0,1.0,7.811299956559297,12.496896,0,1.0,0.7556106276295464,10.698752,0,1.0,0.1348101594556494,0.802816,0.0,0.0,0.016574585635359115,0.0,0.01226993865030675
1,2024-01-11 13:14:42,9.5,8.0,975.0,14.82142857142857,4.8,975.0,15.249999999999982,45.0,0,1.0,1.775220670839323,11.370496,0,1.0,6.261897219288725,13.778944,0,1.0,2.6451319168798952,10.113024,0,1.0,3.0586421106481594,11.083776,0,1.0,0.43721447641649325,9.883648,0,1.0,2.2670010559662397,11.321344,0,1.0,7.59700906152982,11.014144,0,1.0,0.8796297656651523,10.436608,0,1.0,0.16900679211674252,0.847872,0.0,0.0,0.041176470588235294,0.0,0.015337423312883436
2,2024-01-11 13:15:42,8.499999999999998,9.07142857142857,975.0,15.892857142857112,9.5,975.0,13.750000000000018,24.25,0,1.0,1.8582849584833399,11.333632,0,1.0,6.387967073622078,12.98432,0,1.0,1.9680547665036585,9.6256,0,1.0,3.085012357884348,10.81344,0,1.0,0.4080279778682353,9.166848,0,1.0,2.1749147920927294,10.248192,0,1.0,7.441051304863551,11.55072,0,1.0,0.8562705495537617,10.69056,0,1.0,0.19828645083020835,0.8192,0.0,0.0,0.011050358142966722,0.0,0.005780346820809248
3,2024-01-11 13:16:42,4.8,4.8,975.0,13.750000000000053,4.8,975.0,15.625000000000007,24.25,0,1.0,1.9394801031430584,11.292672,0,1.0,6.142619477848882,13.041664,0,1.0,1.967380623368415,9.99424,0,1.0,2.9739727615184104,11.268096,0,1.0,0.5070611045093563,9.392128,0,1.0,2.4973896830329556,9.814016,0,1.0,6.933719320327205,12.00128,0,1.0,0.863744837081188,11.169792,0,1.0,0.15292353823095425,0.831488,0.0,0.0,0.04697986577181208,0.0,0.02325581395348837
4,2024-01-11 13:17:42,22.0,6.499999999999992,975.0,19.74999999999997,4.8,975.0,14.968750000000007,41.249999999999986,0,1.0,1.8685027496895754,11.268096,0,1.0,6.231590198980307,12.980224,0,1.0,1.6468814710515085,9.9328,0,1.0,3.0912263564515494,10.948608,0,1.0,0.5955178581106875,9.076736,0,1.0,2.024863387978081,12.058624,0,1.0,8.637109565641794,11.984896,0,1.0,0.8840816326530727,11.177984,0,1.0,0.17247860944549387,0.794624,0.0,0.0,0.045714285714285714,0.0,0.02127659574468085
5,2024-01-11 13:18:43,8.749999999999998,9.45,975.0,12.399999999999949,4.8,975.0,13.843749999999998,45.0,0,1.0,1.8820870843285158,11.440128,0,1.0,5.787084163162608,12.959744,0,1.0,1.3537098356636839,10.48576,0,1.0,3.059321389793667,11.030528,0,1.0,0.46472658174394643,8.921088,0,1.0,2.061074314881203,9.97376,0,1.0,8.040923801117897,11.6736,0,1.0,0.79395104447005,11.321344,0,1.0,0.21421811886896425,0.864256,0.0,0.0,0.042168674698795185,0.0,0.01902173913043478
6,2024-01-11 13:19:43,22.0,5.5,975.0,17.08333333333333,,975.0,13.535714285714311,24.25,0,1.0,1.8488025594149724,11.063296,0,1.0,6.252585365853785,13.606912,0,1.0,1.923745970342252,10.395648,0,1.0,3.293156474820351,10.969088,0,1.0,0.725424541878558,9.080832,0,1.0,2.1176480209355524,13.197312,0,1.0,7.5340524967991245,11.862016,0,1.0,0.8703859106719117,10.801152,0,1.0,0.21106495166565453,0.88064,0.0,0.0,0.012120800583971345,0.0,0.006172839506172839
7,2024-01-11 13:20:43,9.0,8.249999999999998,975.0,9.25,9.25,975.0,11.07142857142855,46.25,0,1.0,2.036043412033472,11.28448,0,1.0,6.8833555852248,12.976128,0,1.0,1.3533843437317132,10.129408,0,1.0,3.015205789235522,11.595776,0,1.0,0.5768820960698392,8.962048,0,1.0,2.2475182651049677,11.767808,0,1.0,8.790424590888996,11.624448,0,1.0,0.7274725274725369,10.575872,0,1.0,0.1733219817642389,0.79872,0.0,0.0,0.03125,0.0,0.015957446808510637
8,2024-01-11 13:21:43,9.666666666666666,4.980952380952381,975.0,17.593749999999982,4.8,975.0,17.750000000000007,24.25,0,1.0,1.8276002324230929,11.300864,0,1.0,6.513437355643241,12.94336,0,1.0,2.156159043658328,10.452992,0,1.0,3.214839265212431,11.28448,0,1.0,0.43424467812257195,9.265152,0,1.0,2.313880965963138,10.665984,0,1.0,7.844921837537249,12.24704,0,1.0,0.8407786429366104,10.973184,0,1.0,0.20962329851219147,0.806912,0.0,0.0,0.018181818181818177,0.0,0.009036144578313254
9,2024-01-11 13:22:43,9.5625,6.999999999999993,975.0,8.75,,975.0,12.812500000000004,24.25,0,1.0,1.898482849604271,11.677696,0,1.0,6.163353781122721,12.484608,0,1.0,1.1906527332870145,9.945088,0,1.0,2.867536484004803,11.341824,0,1.0,0.5286772322353497,9.302016,0,1.0,1.9674210622376886,10.682368,0,1.0,8.015807318321166,12.091392,0,1.0,0.8181483187471201,10.530816,0,1.0,0.19778257310808545,0.8192,0.0,0.0,0.039735099337748346,0.0,0.01929260450160771
